SegmentID	Audience	Q1	Q2	Q3	Q4
S001	SmallGroup	What words or repeated phrases stand out?	What does creation reveal about God’s character and purposes?	How should creation shape how we view people, work, and our city?	What concrete action will you take this week to honor God’s design?
S002	SmallGroup	What moments highlight the pull of temptation?	What does this reveal about God, blame, and consequence?	Where do you see hiding or shifting blame in work, family, or culture?	What specific boundary will you set this week to resist temptation?
S003	SmallGroup	What contrasts do you notice between Noah and his world?	What does the narrative show about God’s justice and mercy?	Where do cultural norms challenge God’s ways in our context?	What integrity practice will you commit to this week?
S004	SmallGroup	What motives drive the builders in this text?	What does God’s response reveal about pride and limits?	Where do you see status‑seeking or exclusion in your networks?	What step will you take to build humility and inclusion?
S005	SmallGroup	What is asked of Abram and how does he respond?	What does this reveal about trust in uncertainty?	Where might comfort keep you from a faithful step at work or home?	What next step of obedience will you take this week?
S006	SmallGroup	What promises or signs are emphasized?	What does this show about God’s long‑term faithfulness?	How could promise‑keeping strengthen commitments in your life?	What promise or commitment will you intentionally honor this week?
S007	SmallGroup	What problems in the cities are highlighted?	What do you see about God’s holiness and patience?	How might this shape our view of justice, safety, and hospitality?	What practical step will you take for someone vulnerable this week?
S008	SmallGroup	What tensions and choices stand out here?	What does the account teach about worship and surrender?	Where might control compete with trust in your daily life?	What one trust action will you practice this week?
S009	SmallGroup	What developments move the story forward?	What do you see about God’s long, patient work across generations?	How does long‑term faithfulness shape your goals for family or vocation?	What enduring practice will you repeat this week?
S010	SmallGroup	What motives and methods are used to seek blessing?	What consequences of deceit show up in the story?	Where is dishonesty eroding trust in your world?	What action will you take to repair or prevent a trust breach?
S011	SmallGroup	What new dynamics surface here?	What do they suggest about rivalry and God’s purposes?	Where does comparison drive unhelpful choices in your world?	What step will you take toward celebration instead of comparison?
S012	SmallGroup	What turning points do you notice?	What does Jacob’s wrestling suggest about identity and dependence?	Where might a pause with God bring clarity in your life?	What first step will you take to face a hard decision?
S013	SmallGroup	What decisions lead to the resettling?	What does this reveal about God’s care in messy times?	Where are you navigating transition (role, season, location)?	What stabilizing rhythm will you set this week?
S014	SmallGroup	What hardships shape Joseph here?	What does this show about God’s work in waiting and injustice?	How might faithful presence look in your difficult season?	What task will you complete this week even if unseen?
S015	SmallGroup	What highlights Joseph’s humility and wisdom?	What temptations come with rapid success?	How can you steward influence without self‑promotion?	What accountability or gratitude action will you take after a win?
S016	SmallGroup	What emotions or motives surface here?	What does Joseph’s response show about wise reconciliation?	Where do you need both truth and grace to rebuild trust?	What first step of reconciliation will you take this week?
S017	SmallGroup	What risks and emotions shape the reunion?	What does this reveal about forgiveness and second chances?	Where do you sense God prompting you to rebuild trust?	What specific outreach will you do this week?
S018	SmallGroup	What themes of blessing and legacy appear?	What do these endings suggest about finishing well?	How should legacy shape your calendar and priorities?	What one priority will you reallocate this week?
S019	SmallGroup	What forms of suffering and hope appear?	What does God’s call of Moses reveal about purpose?	Where could you use your position to serve those in pressure?	What concrete advocacy step will you take this week?
S020	SmallGroup	What fears and objections surface here?	What does this show about obedience under pressure?	Where do you need courage to do the right thing despite resistance?	What one action will you take this week aligned with conviction over comfort?
S021	SmallGroup	What patterns emerge in the plagues?	What does the story show about hard hearts and second chances?	Where do you see stubbornness in self, systems, or relationships?	What practice will soften your response this week?
S022	SmallGroup	Which instructions and symbols stand out?	What does this communicate about rescue, identity, and belonging?	How could remembrance shape your decisions at home or work?	What reminder will you set this week?
S023	SmallGroup	Which choices and emotions define the crisis?	What does the rescue reveal about fear and trust?	Where do you feel boxed in and tempted to panic?	What step will you take this week while asking God to open a path?
S024	SmallGroup	Where do complaint and provision sit side by side?	What does this show about daily dependence?	How might gratitude reshape your work or home tone?	What daily thanksgiving habit will you adopt this week?
S025	SmallGroup	Which command strikes you as most relevant now?	What do these reveal about loving God and neighbor?	How would your team or city change if these were practiced?	Which one will you intentionally practice this week?
S026	SmallGroup	What community values are emphasized?	How do these instructions protect justice and the vulnerable?	Where could you increase fairness at work, neighborhood, or home?	What specific fairness action will you take this week?
