School Questions				
				
				
segment code	question1	question2	question3	question4
S001	What patterns or repeated words did you notice while reading?	What does this passage suggest about God’s character?	How might this shape how you view people at school?	What is one way you can reflect God’s care this week?
S002	What moments stood out most in this story, and why?	How does the passage describe the pull of temptation?	Where do you notice similar patterns in student life?	What wise boundary will you try this week?
S003	What differences do you see between Noah and his world?	Where do you see both justice and mercy in the story?	When is it hardest for you to follow God at school?	What small step of integrity will you practice this week?
S004	What motives do you notice behind building the city and tower?	What does God’s response reveal about pride and limits?	Where do you see name‑making or exclusion in your context?	What bridge‑building step could you take this week?
S005	What does God call Abram to do in this passage?	What costs or risks might obedience have meant for Abram?	Where might God be inviting you to trust Him at school?	What first step of faith will you take this week?
S006	What promises or signs are highlighted in this passage?	What does this show about God’s faithfulness and timing?	How does promise‑keeping shape friendships at school?	What commitment will you honor carefully this week?
S007	What tensions do you notice between justice and mercy here?	What do Abraham’s actions show about intercession and care?	Where do you see brokenness that calls for courage and compassion?	What careful, kind action will you take this week?
S008	What inner struggle do you sense in this story?	What does this passage say about trust and surrender?	Where is trust hardest for you right now at school?	What step of trust will you take this week?
S009	What key changes happen in this family’s story?	What does this suggest about God working across generations?	How does long‑term faithfulness encourage you in slow seasons?	What patient practice will you keep this week?
S010	What motives seem to drive the choices made here?	What consequences of deception do you notice in the story?	Where are you tempted to cut corners in student life?	What honest choice will you make this week?
S011	What new dynamics or tensions appear in these chapters?	What do these dynamics show about comparison and rivalry?	Where do you notice similar pressures in friend groups or teams?	What peacemaking step could you try this week?
S012	What turning points stand out to you in this reading?	What does Jacob’s wrestling suggest about identity and fear?	Where are you wrestling with God or yourself right now?	What honest prayer or conversation will you start this week?
S013	What decisions lead to resettling here?	What do you notice about God’s care in messy situations?	How does this speak to you in a season of change at school?	What steady step will you take in a change you face?
S014	What hardships does Joseph face in this section?	What traits of character grow through these trials?	Where do setbacks test your character at school?	What resilient habit will you practice this week?
S015	What moments reveal Joseph’s wisdom and humility?	What does the story warn about success and power?	How can you stay grounded when you are noticed or praised?	What grounding practice will you keep this week?
S016	What emotions or motives drive the brothers here?	How does Joseph handle power and past hurt?	Where could you show wise mercy in a tense relationship?	What step toward reconciliation will you take?
S017	What emotions and risks are present in reunion?	What does this passage show about forgiveness and trust?	Where might God be inviting you to rebuild trust?	What first step toward peace will you try this week?
S018	What themes of blessing or legacy do you notice?	What do these endings say about faith over a lifetime?	How does thinking about legacy shape your choices now?	What priority will you realign this week?
S019	What forms of suffering and hope appear here?	What does God’s call of Moses reveal about purpose?	Where might God be nudging you to speak or serve at school?	What small act of courage will you take this week?
S020	What fears or obstacles surface in this reading?	What do you learn about obedience under pressure?	Where do you feel pressure to stay silent or give up?	What faithful action will you take despite pressure?
S021	What patterns do you see across the plagues?	What does this show about hard hearts and second chances?	Where do you notice stubborn patterns in your own life?	What change will you practice to soften your heart?
S022	What instructions or symbols stand out to you?	What does this teach about rescue and belonging?	How might remembering God’s care shape your week?	What simple reminder will you keep before you this week?
S023	What choices and emotions mark this escape?	What does the rescue reveal about fear and trust?	Where do you feel stuck and in need of God’s help?	What step will you take while trusting God to make a way?
S024	Where do you see complaint and where provision?	What does this show about gratitude and daily trust?	How could gratitude shift your school week?	What daily practice of thanks will you try?
S025	Which commands strike you most today?	What do these reveal about loving God and neighbor?	How would life at school look if these shaped the culture?	Which one will you focus on living out this week?
S026	What kinds of protections or values are set out here?	What community is God forming through these laws?	Where could fairness or care grow in your context?	What fair action will you practice this week?
S027	What details show God’s desire to dwell with His people?	What do beauty and order in worship communicate?	How could your gifts help create space for God at school?	What contribution will you make this week?
S028	What roles and boundaries do you see for leaders here?	What does holiness look like in daily practice?	Where do you need healthy boundaries to serve well?	What boundary will you set or renew this week?
S029	What practices are highlighted in these instructions?	What do they teach about rest, prayer, and devotion?	Where do you need rest or focus to meet with God?	What simple rhythm will you keep this week?
S030	What led the people toward idolatry in this moment?	What do you notice about Moses’ intercession and God’s mercy?	What modern “idols” compete for your trust at school?	What will you put down and what will you take up this week?
S031	What responses do the people have to God’s plan?	What do you see about generosity and skill in service?	Where could you offer time or talent this week?	What specific task will you volunteer to do?
S032	What completes the work in this passage?	What does God’s presence mean for the community?	How can you honor God’s presence in ordinary places?	What practice will help you notice God this week?
S033	What kinds of offerings are described here?	What do these teach about sin, gratitude, and worship?	How might confession and thanks shape your week?	What honest prayer will you bring to God today?
S034	What additional offerings stand out to you?	What do they suggest about daily life with God?	Where could you turn routine into worship this week?	What daily moment will you dedicate to God?
S035	What steps of ordination do you notice?	What does this show about preparation for serving?	How might you prepare your heart before serving others?	What preparation step will you take this week?
S036	What distinctions are made in this section?	What values about health and holiness appear here?	How could wise care of body and soul help your week?	What healthy habit will you practice faithfully?
S037	What additional patterns of care do you see?	What does attention to detail teach about holiness?	Where do small choices shape your character at school?	What small faithful choice will you repeat this week?
S038	What images of atonement stand out to you?	What does this teach about sin, forgiveness, and access to God?	How does forgiven people live differently at school?	What step will you take to seek or extend forgiveness?
S039	What commands or warnings are emphasized here?	What do they show about God’s heart for distinct living?	Where are you called to be different for the right reasons?	What one difference will you practice this week?
S040	What expectations are placed on those who lead?	What does this suggest about example and influence?	Where do you have influence among peers?	What example will you set this week?
S041	What rhythms or festivals are described here?	What do they teach about remembering God together?	What rhythm helps you remember God in busy weeks?	What reminder will you schedule into your week?
S042	What practices of rest and release appear here?	What do they reveal about trust, justice, and renewal?	Where do you need rest or to release a burden?	What reset will you practice this week?
S043	What choices and outcomes are set side by side?	What does this teach about the path of blessing?	Where do your choices steer your week at school?	What wise choice will you make today?
S044	What purposes might this census serve for the people?	What does ordered preparation show about trust and mission?	Where do you need structure to serve better at school?	What organizing step will you take this week?
S045	What unique role do the Levites have here?	What does set‑apart service look like in practice?	Where might God be setting you apart to serve others?	What service will you offer this week?
S046	What practices of consecration stand out to you?	What do they show about living under God’s blessing?	How could consecrated habits shape your school life?	What habit will you dedicate to God this week?
S047	What preparations and celebrations happen here?	What do you learn about starting well with God?	Where do you need to prepare before you move forward?	What first step will you take to prepare well?
S048	Where do you see complaint and where care in this story?	What does this reveal about trust and contentment?	Where do you slip into complaint during busy weeks?	What gratitude practice will you choose instead?
S049	What reports and reactions stand out to you?	What does fear vs. faith look like in this moment?	Where is fear shrinking your vision at school?	What faith step will you take despite fear?
S050	What sparks the rebellion here?	What do you learn about authority, pride, and humility?	Where do you resist guidance that could help you grow?	What humble step will you take this week?
S051	What provisions or victories are highlighted?	What does this show about God’s care in hard places?	Where have you seen small wins in a tough season?	What gratitude or testimony will you share this week?
S052	What tensions do you notice in Balaam’s choices?	What does this passage suggest about motives and integrity?	Where are mixed motives pulling you off course?	What clear, honest step will you take this week?
S053	What shifts do you notice compared to the first count?	What does this say about generations and readiness?	How can you help the next person take their place well?	What mentoring or support step will you take?
S054	What commitments and rhythms are described here?	What do vows teach about words and follow‑through?	Where do you need to match words with actions?	What commitment will you keep carefully this week?
S055	What lessons stand out from battles and travels?	What do you learn about perseverance and guidance?	Where do you need steady perseverance at school?	What steady action will you repeat each day?
S056	What instructions prepare them for the new land?	What do boundaries and plans reveal about wisdom?	Where do you need clear boundaries to thrive?	What boundary will you set or renew today?
S057	What memories or reviews are emphasized here?	What does remembering teach about faith and identity?	What memory of God’s help strengthens you now?	How will you remember and share it this week?
S058	What calls to listen stand out in this passage?	What does this say about hearing and doing God’s word?	Where do you need to match listening with action?	What small act of obedience will you do today?
S059	What central themes of the covenant appear here?	What do they show about love, loyalty, and worship?	How can covenant love shape your school relationships?	What act of loyal love will you practice this week?
S060	What aims or outcomes of obedience are described?	What do you learn about blessing and witness?	Where could your choices point others toward God?	What witness will you live out this week?
S061	What kinds of justice or care are urged here?	What does this reveal about God’s heart for community?	Where could fairness or protection grow at school?	What just action will you take this week?
S062	What further instructions stand out to you?	What values are being formed by these laws?	Where do these values challenge your habits?	What change will you practice for one week?
S063	What protections or limits are emphasized here?	What do they teach about wisdom and restraint?	Where do you need wiser limits online or in speech?	What limit will you observe this week?
S064	What themes repeat across these laws?	What picture of community forms from these themes?	Where could your group reflect this picture more?	What one practice will you add to your routine?
S065	What choices and outcomes are contrasted again here?	What do you learn about the direction of a life?	Where do your daily choices lead you right now?	What course correction will you make today?
S066	What invitation or warning is presented here?	What does choosing life look like in practice?	Where do you need to choose life over lesser things?	What life‑giving step will you take this week?
S067	What moments of transition stand out here?	What does this teach about leadership handoffs and praise?	Where could you help someone step into leadership?	What encouragement will you speak this week?
S068	What blessings or farewells are given here?	What do they reveal about God’s faithfulness to the end?	How does this shape how you finish seasons well?	What finish‑well step will you take this week?
S069	What words or commands to Joshua stand out?	What does this say about courage and meditation on God’s word?	Where do you need courage to obey at school?	What truth will you meditate on each day?
S070	What acts of trust do you notice in this story?	What does God’s way of victory teach you about faith?	Where might obedience look unusual but faithful?	What faithful step will you take this week?
