SegmentID	Audience	Q1	Q2	Q3	Q4
S001	School	Which day of creation would you want to witness?	What does this show about God's power and our worth?	Where do you see God’s creation around you at school or in life?	What is one way you can honor God’s creation this week?
S002	School	What surprised you most in the garden story?	What does this reveal about our impulse to hide and God's heart?	Where do you notice similar dynamics of temptation or blame in your life?	What boundary or honest step will you take this week?
S003	School	If you were filming Noah's story, which scene would you focus on?	What does this teach about God's justice and mercy and how we should live?	When is it hardest for you to follow God at school?	What step of integrity will you practice this week?
S004	School	What caught your attention about the tower builders?	What does this expose about pride, identity, and God's place?	Where do you see name‑making or exclusion in your context?	What bridge‑building step could you take this week?
S005	School	Which part of Abram's journey stood out to you?	What does this say about trusting God's call and our purpose?	Where might God be inviting you to trust Him at school?	What first step of faith will you take this week?
S006	School	What struck you about God's promises here?	What does this show about God's faithfulness and our identity?	How does promise‑keeping shape friendships at school?	What commitment will you honor carefully this week?
S007	School	Which character's actions surprised you most?	What does this say about God's holiness and our responsibility?	Where do you see brokenness that calls for courage and compassion?	What careful, kind action will you take this week?
S008	School	What emotions did you notice in Abraham's test?	What does this teach about trust and surrender?	Where is trust hardest for you right now at school?	What step of trust will you take this week?
S009	School	What family dynamics grabbed your attention?	What does this show about God working over time and our place in His story?	How does long‑term faithfulness encourage you in slow seasons?	What patient practice will you keep this week?
S010	School	How did Jacob's deception play out?	What does this reveal about integrity and who we are becoming?	Where are you tempted to cut corners in student life?	What honest choice will you make this week?
S011	School	Which brother's story interested you most?	What does this say about comparison, worth, and God's purposes?	Where do you notice comparison and rivalry in friend groups or teams?	What peacemaking step could you try this week?
S012	School	What did you notice about Jacob's wrestling match?	What does this teach about identity and depending on God?	Where are you wrestling with God or yourself right now?	What honest prayer or conversation will you start this week?
S013	School	What stood out in all these family moves?	What does this show about God's care in messy change and how we walk?	How does this speak to you in a time of change at school?	What steady step will you take in change this week?
S014	School	Which of Joseph's hardships hit you hardest?	What does this show about purpose in hard seasons?	Where do setbacks test your character at school?	What resilient habit will you practice this week?
S015	School	How did Joseph handle his new power?	What does this teach about humility, power, and God's wisdom?	How can you stay grounded when noticed or praised?	What grounding practice will you keep this week?
S016	School	What emotions surfaced when the brothers met?	What does this reveal about truth, mercy, and rebuilding trust?	Where could you show mercy in a tense relationship?	What step toward reconciliation will you take this week?
S017	School	Describe the reunion scene that stuck with you.	What does this show about forgiveness and restored identity?	Where might God be inviting you to rebuild trust?	What first step toward peace will you take this week?
S018	School	Which blessing or farewell moved you?	What does this say about legacy and finishing with faith?	How does thinking about legacy affect your choices now?	What priority will you realign this week?
S019	School	What grabbed you about Moses at the burning bush?	What does this show about God's concern and our calling?	Where might God be nudging you to speak or serve at school?	What step of courage will you take this week?
S020	School	How did Pharaoh's reactions strike you?	What does this teach about obedience under pressure and who leads?	Where do you feel pressure to stay silent or give up?	What faithful action will you take despite pressure?
S021	School	Which plague would have convinced you?	What does this reveal about stubborn hearts and God's patience?	Where do stubborn patterns show up in your own life?	What change will you practice to soften your heart this week?
S022	School	What symbols in the Passover stood out?	What does this show about rescue, belonging, and identity?	How might remembering God’s care shape your week?	What simple reminder will you keep before you this week?
S023	School	Picture yourself at the Red Sea - what do you see?	What does this teach about fear, trust, and who saves?	Where do you feel stuck and in need of God’s help?	What step will you take while trusting God to make a way?
S024	School	When did the people's attitudes shift in the desert?	What does this reveal about daily dependence on God?	How could gratitude shift your school week?	What daily practice of thanks will you try?
S025	School	Which commandment speaks loudest to you?	What does this teach about love, freedom, and how to live?	How would school life look if these shaped the culture?	Which one command will you focus on this week?
S026	School	What surprised you in these community rules?	What does this say about justice, neighbor-love, and our responsibility?	Where could fairness or care grow in your context?	What fair action will you practice this week?
S027	School	Imagine walking into the tabernacle - what catches your eye?	What does this reveal about God wanting to be with us and our worship?	How could your gifts help create space for God at school?	What contribution will you make this week?
S028	School	What struck you about the priests' responsibilities?	What does this teach about holiness and representing God?	Where do you need healthy boundaries to serve well?	What boundary will you set or renew this week?
S029	School	Which worship practice stood out to you?	What does this say about rest, devotion, and ordered life?	Where do you need rest or focus to meet with God?	What simple rhythm will you keep this week?
S030	School	How quickly did everything fall apart?	What does this expose about idols, leadership, and God's mercy?	What ‘idols’ compete for your loyalty at school?	What will you put down and what will you take up this week?
S031	School	What impressed you about the people's giving?	What does this show about generosity, skill, and purpose?	Where could you offer time or talent this week?	What specific task will you volunteer to do?
S032	School	Describe the moment God's glory filled the tabernacle.	What does this teach about God's presence and our response?	How can you honor God’s presence in ordinary places?	What practice will help you notice God this week?
S033	School	Which offering made the most sense to you?	What does this teach about sin, gratitude, and approaching God?	How might confession and thanks shape your week?	What honest prayer will you bring to God today?
S034	School	What patterns did you notice in these rituals?	What does this show about everyday worship and God's holiness?	Where could you turn routine into worship this week?	What daily moment will you dedicate to God?
S035	School	What stood out in the ordination ceremony?	What does this reveal about calling and readiness?	How might you prepare your heart before serving others?	What preparation step will you take this week?
S036	School	Which distinction surprised you most?	What does this say about holiness, health, and wisdom?	How could wise care of body and soul help your week?	What healthy habit will you practice faithfully?
S037	School	What careful details did you notice?	What does this teach about small choices shaping character?	Where do small choices shape your character at school?	What small faithful choice will you repeat this week?
S038	School	Picture the Day of Atonement - what strikes you?	What does this reveal about forgiveness and access to God?	How does forgiveness change how you live at school?	What step will you take to seek or extend forgiveness?
S039	School	How does "be holy" land with you?	What does this say about God's character and distinct living?	Where are you called to be different for the right reasons?	What one difference will you practice this week?
S040	School	What expectations for leaders caught your attention?	What does this teach about example, influence, and integrity?	Where do you have influence among peers?	What example will you set this week?
S041	School	Which festival would you want to experience?	What does this teach about remembering God together and our identity?	What rhythm helps you remember God in busy weeks?	What reminder will you add into your week?
S042	School	What grabbed you about the year of jubilee?	What does this reveal about trust, renewal, and justice?	Where do you need rest or to let go of burdens?	What reset step will you take this week?
S043	School	Which blessing or curse felt most real?	What does this say about choices and the path of life with God?	Where are your choices leading you this week?	What wise choice will you make today?
S044	School	Why do you think God wanted them counted?	What does this show about order, belonging, and mission?	Where do you need structure to serve better at school?	What organizing step will you take this week?
S045	School	What unique about the Levites' calling?	What does this teach about being set apart to serve?	Where might you be set apart to help others at school?	What service will you offer this week?
S046	School	How did dedication look different here?	What does this reveal about living under God's blessing?	How could a dedicated habit shape your school life?	What habit will you dedicate to God this week?
S047	School	What emotions filled the celebration?	What does this say about starting well with God?	Where do you need to prepare before you move forward?	What first step will you take to prepare well?
S048	School	When did complaining take over?	What does this reveal about trust versus complaint?	Where do you slip into complaint during busy weeks?	What gratitude practice will you choose instead?
S049	School	Which spy would you have sided with?	What does this teach about fear versus faith?	Where is fear shrinking your vision at school?	What faith step will you take despite fear this week?
S050	School	What sparked the rebellion?	What does this reveal about pride, authority, and humility?	Where do you resist guidance that could help you grow?	What humble step will you take this week?
S051	School	Where did you see God provide?	What does this say about God's care and our courage?	Where have you seen small wins in a tough season?	What gratitude or testimony will you share this week?
S052	School	What confused you about Balaam?	What does this reveal about motives, truth, and integrity?	Where are mixed motives pulling you off course?	What clear, honest step will you take this week?
S053	School	How had the people changed since the first count?	What does this show about readiness and purpose across time?	How can you help the next person take their place well?	What mentoring or support step will you take?
S054	School	Which vow stood out to you?	What does this teach about words, integrity, and follow-through?	Where do you need to match words with actions?	What commitment will you keep carefully this week?
