storyCode	question1	question2	question3	question4
S001	What words did you hear again and again?	What does this show about God?	How should we treat people God made?	What kind thing will we do this week?
S002	What happened in the garden in this story?	What does this teach about listening to God?	When do we feel tempted to do wrong?	What will we do when we feel tempted?
S003	What was different about Noah’s choices?	What do we learn about right and wrong?	How can our family choose what is right?	What is one way we will trust God?
S004	What were the people trying to build together?	What might God want them to remember about Him?	Where can we include someone who feels left out?	What humble step will we take this week?
S005	What did God ask Abram to do?	How did Abram show trust in God?	Where can we trust God even when unsure?	What short prayer will we say together?
S006	What promise did God give Abram?	What does this show about God’s faithfulness?	How can we keep our promises this week?	What promise will we keep on purpose?
S007	What serious problem did the cities have?	What does this show about God’s holiness and care?	How can we choose what is good and safe?	What prayer will we pray for our city?
S008	What hard test did Abraham face?	What does this teach about trust in God?	Where do we need to trust God as a family?	What step of trust will we take this week?
S009	What changes happened in the family here?	What does this show about God’s long plan?	Where do we need patience at home or school?	What patient habit will we practice?
S010	What choices did Jacob make?	What happened because of those choices?	Where do we need honesty this week?	What honest choice will we make today?
S011	What new family tensions did you notice?	What do they teach about jealousy and kindness?	How can we show kindness when we feel left out?	What kind word will we speak today?
S012	What big moments stood out to you?	What might Jacob be wrestling about inside?	Where are we wrestling with fear or change?	What prayer will we bring to God tonight?
S013	What led Jacob to move again?	Where do you see God caring for the family?	How can we trust God in our changes?	What steady step will we take this week?
S014	What hard things happened to Joseph?	What good traits grew in him through this?	Where do we need courage when life is hard?	What brave step will we take together?
S015	What helped Joseph in his new role?	What danger comes with success or praise?	How can we stay humble when noticed?	What thanks will we give God this week?
S016	What feelings did the brothers have?	How did Joseph treat them with power?	Where can we show mercy at home or school?	What forgiving step will we take?
S017	What emotions did you hear in the reunion?	What does this show about forgiveness?	Who might we need to forgive or call?	What first step toward peace will we take?
S018	What blessings or last words stood out?	What do they show about finishing with faith?	What kind of legacy do we want as a family?	What priority will we set this week?
S019	What hard things happened to God’s people?	How did God call Moses to help?	Where could we help someone who is hurting?	What small action will we take to help?
S020	What fears or obstacles did you notice?	What did obedience look like here?	Where do we need courage to do right?	What brave action will we take this week?
S021	What patterns did you see in the plagues?	What does this teach about hard hearts and mercy?	Where do we keep doing unhelpful habits?	What change will we try this week?
S022	What special instructions did God give?	What do they show about rescue and belonging?	How can we remember God’s care this week?	What reminder will we keep in our home?
S023	What choices and feelings did the people have?	What does God’s rescue teach about trust?	Where do we feel stuck and need help?	What step will we take while trusting God?
S024	Where did the people complain, and where did God provide?	What does this say about gratitude and trust?	How can we practice thankfulness each day?	What will we thank God for tonight?
S025	Which command stood out to you today?	What do these teach about loving God and people?	How would our home look if we lived these well?	Which one will we focus on this week?
S026	What kinds of rules did you hear?	What do they show about fairness and care?	Where can we be fair with others this week?	What fair action will we choose today?
S027	What details did you notice about God’s tent?	What does that show about God living with His people?	How can we make space for God at home?	What small worship habit will we try?
S028	What jobs did the priests have?	What does holy living look like here?	Where do we need good boundaries at home?	What boundary will we set kindly this week?
S029	What new instructions stood out today?	What do they teach about prayer and rest?	Where do we need quiet time with God?	When will we set a short quiet time?
S030	What went wrong while Moses was away?	What do we learn about idols and mercy?	What things try to take God’s first place for us?	What will we put down to put God first?
S031	How did the people respond to the plan?	What do you see about generosity and skill?	Where can we offer our time or talents?	What task will we each do this week?
S032	What showed the work was finished?	What does God’s glory mean for the people?	How can we honor God in ordinary places?	What simple worship will we do at home?
S033	What offerings did you hear about?	What do they teach about sin and thanks?	How can we say sorry and thank you to God?	What honest prayer will we say today?
S034	What other offerings were added?	What do they show about daily life with God?	Where can we turn routine into worship?	What daily moment will we give to God?
S035	What steps prepared the priests to serve?	What does this teach about getting ready to serve?	How can we prepare our hearts to serve others?	What small prep will we do before serving?
S036	What kinds of differences were explained?	What values about health and holiness appear?	How can we care for body and soul this week?	What healthy habit will we practice?
S037	What patterns of careful living did you hear?	What does attention to detail teach us?	Where do small choices shape our family life?	What small good choice will we repeat?
S038	What pictures of forgiveness stood out?	What do they teach about God making a way?	How do forgiven people treat others?	Who will we forgive or ask forgiveness from?
S039	What commands did God give His people?	What do they show about living differently for God?	Where is God asking us to be different kindly?	What one change will we practice this week?
S040	What was expected from leaders here?	What does this show about example and care?	Where do we lead by example at home or school?	What good example will we set this week?
S041	What special days did you hear about?	What do they teach about remembering together?	What family rhythm helps us remember God?	What reminder will we set for this week?
S042	What rests and releases were described?	What do they show about trust and renewal?	Where do we need rest or to forgive a debt?	What reset will we try this week?
S043	What choices and results were compared?	What does this teach about wise paths?	Where do our choices lead us right now?	What wise choice will we make today?
S044	Why might the people be counted here?	What does this show about order and purpose?	Where do we need a plan to serve well?	What organizing step will we take this week?
S045	What special role did the Levites have?	What does set apart service look like?	Where can we serve others with care?	What service will we offer this week?
S046	What practices of dedication stood out?	What do they show about living under blessing?	What habit could we dedicate to God this week?	What will we dedicate together in prayer?
S047	What celebrations and preparations happened?	What do we learn about starting well with God?	Where do we need to prepare before we start?	What first step will we take to prepare?
S048	Where did you hear complaints, and where care?	What does this show about trust and contentment?	When do we start to complain easily?	What thank you will we say instead this week?
S049	What reports did the people bring back?	What is the difference between fear and faith here?	Where is fear shrinking our view of God?	What faith step will we take this week?
S050	What started the rebellion in this story?	What does this teach about pride and humility?	Where do we resist guidance that helps us grow?	What humble step will we choose today?
S051	What wins and helps did God give?	What does this show about care in hard places?	Where have we seen small wins lately?	What thanks will we give for them?
S052	What tensions did you hear in Balaam’s heart?	What does this teach about motives and truth?	Where do mixed motives pull us off track?	What clear honest step will we take?
S053	What seemed new in this counting?	What does this say about being ready to serve?	How can we help someone take their place?	Who will we encourage this week?
S054	What commitments did people make to God?	What do vows teach about words and actions?	Where do we need to match words with deeds?	What promise will we keep carefully this week?
S055	What lessons came from travels and battles?	What do we learn about guidance and patience?	Where do we need steady patience at home?	What steady step will we repeat each day?
S056	What plans and borders were set up?	What do they teach about wisdom and safety?	Where do we need clear boundaries right now?	What boundary will we set kindly today?
S057	What memories were retold in this section?	What does remembering teach about faith and identity?	What story of God’s help can we share?	When will we share it this week?
S058	What calls to listen did you notice?	What does this say about hearing and doing?	Where do we need to act on what we know?	What small obedience will we do today?
S059	What big themes of the covenant appeared?	What do they show about love and loyalty?	How can covenant love shape our family life?	What act of loyal love will we do?
S060	What goals of obedience were described?	What does witness look like in this passage?	Where could our choices point others to God?	What witness will we live out this week?
S061	What kinds of justice or care were urged?	What does this show about God’s heart for people?	Where can we protect or help someone?	What just action will we take this week?
S062	What new instructions stood out today?	What values are being shaped by these rules?	Where do these values challenge our habits?	What one change will we try this week?
S063	What protections or limits were given?	What do they teach about wisdom and restraint?	Where do we need wiser limits for screens or words?	What limit will we keep this week?
S064	What themes kept repeating here?	What picture of community do they paint?	Where can our home reflect that picture more?	What practice will we add to our routine?
S065	What choices and outcomes were compared?	What do you learn about the direction of a life?	Where are our choices taking us now?	What course change will we make today?
S066	What invitation did God give His people?	What does choosing life look like?	Where do we need to choose life this week?	What life giving step will we take?
S067	What moments of change did you notice?	What does this teach about passing on leadership?	Who can we encourage to lead or try?	What encouragement will we give this week?
S068	What blessings or farewells stood out?	What do they show about God’s faithfulness?	How can we finish our tasks with faith?	What will we finish well this week?
S069	What words to Joshua stood out?	What helps people be strong and brave here?	Where do we need courage at school or work?	What truth will we repeat this week?
S070	What did trust look like in this story?	What does this teach about God’s unusual ways?	Where might obedience look unusual for us?	What faithful step will we take this week?
S071	What caused the setback here?	What do we learn about honesty and community?	Where could hidden choices hurt our home?	What confession or fix will we make?
S072	What progress and challenges were recorded?	What does steady obedience look like over time?	Where do we need follow through this week?	What next step will we schedule?
S073	What borders and portions were given?	What does that teach about order and fairness?	Where do clear roles help us at home?	What role will each of us take this week?
S074	What patterns in giving the land continued?	What values guided those choices?	Where can we practice fairness when sharing?	What fair choice will we make today?
S075	What needs or gaps were finished up?	What do we learn about completing good work?	Where do we leave things half done?	What will we finish before the week ends?
S076	What reminders did Joshua give the people?	What do they teach about loyalty to God?	Where are we tempted to drift from good ways?	What guardrail will we set this week?
S077	What cycle did you hear in Judges?	What does this teach about habits and hearts?	Where do we see this cycle in our lives?	What early step will we take to break it?
S078	What leaders or moments stood out?	What do these stories show about God using unlikely people?	Where could God use our strengths to help?	What service will we do this week?
S079	What doubts and signs did Gideon have?	What does God’s patience teach us here?	Where do we need courage in weakness?	What small brave step will we take today?
S080	What warning signs did you notice in Abimelech?	What do we learn about ambition and pride?	Where could power plays harm our family or class?	What humble choice will we make?
S081	What stood out about vows and words?	What do we learn about promises and wisdom?	Where do our words run ahead of wisdom?	What careful speaking habit will we practice?
S082	What strengths and weaknesses did Samson show?	What does this teach about calling and choices?	Where are we strong yet vulnerable?	What safeguard will we put in place?
