SegmentID	Audience	Q1	Q2	Q3	Q4
S001	Family	What part of the creation story did you notice most?	What does this show about God’s goodness and care?	How should we treat people and the world God made?	What action will we do together this week to honor God’s world?
S002	Family	What happened in the garden in this story?	What does this teach about listening to God?	When do we blame or hide at home?	What will we do as a family when we feel tempted?
S003	Family	What was different about Noah’s choices?	What does this show about right and wrong?	How can we as a family choose what is right?	What is one way we will trust God this week?
S004	Family	What were the people building together?	What might God want them to remember about Him?	Where can we include someone who feels left out?	What humble step will we take this week?
S005	Family	What did God ask Abram to do?	How did Abram show trust in God?	Where can we trust God even when unsure?	What short prayer will we say together?
S006	Family	What promise did God give Abram?	What does this show about God’s faithfulness?	How can we keep our promises this week?	What promise will we keep on purpose?
S007	Family	What was the serious problem in the cities?	What does this show about God’s holiness and care?	How can we choose what is good and safe?	What prayer will we pray for our city?
S008	Family	What hard test did Abraham face?	What does this teach about trusting God?	Where do we need to trust God as a family?	What step of trust will we take this week?
S009	Family	What changes happened in the family?	What does this show about God’s long plan?	Where do we need patience at home or school?	What patient habit will we practice?
S010	Family	What choices did Jacob make?	What happened because of those choices?	Where do we need honesty this week?	What honest choice will we make today?
S011	Family	What new family tensions did you notice?	What do they teach about jealousy and kindness?	How can we show kindness when we feel left out?	What kind word will we speak today?
S012	Family	What big moments stood out to you?	What might Jacob be wrestling with?	Where are we wrestling with fear or change?	What prayer will we bring to God tonight?
S013	Family	What led Jacob to move again?	Where do you see God caring for the family?	How can we trust God in our changes?	What steady step will we take this week?
S014	Family	What hard things happened to Joseph?	What good traits grew in him through this?	Where do we need courage when life is hard?	What brave step will we take together?
S015	Family	What helped Joseph in his new role?	What danger comes with success or praise?	How can we stay humble when noticed?	What thanks will we give God this week?
S016	Family	What feelings did the brothers have?	How did Joseph treat them?	Where can we show mercy at home or school?	What forgiving step will we take?
S017	Family	What emotions did you hear in the reunion?	What does this show about forgiveness?	Who might we need to forgive or welcome?	What first step toward peace will we take?
S018	Family	What blessings or last words stood out?	What do they show about finishing with faith?	What kind of legacy do we want as a family?	What priority will we set this week?
S019	Family	What hard things happened to God’s people?	How did God call Moses to help?	Where could we help someone who is hurting?	What small action will we take to help?
S020	Family	What fears or obstacles did you notice?	What did obedience look like here?	Where do we need courage to do right?	What brave action will we take this week?
S021	Family	What patterns did you see in the plagues?	What does this teach about hard hearts and mercy?	Where do we keep doing unhelpful habits?	What change will we try this week?
S022	Family	What special instructions did God give?	What do they show about rescue and belonging?	How can we remember God’s care this week?	What reminder will we keep in our home?
S023	Family	What choices and feelings did the people have?	What does God’s rescue teach about trust?	Where do we feel stuck and need help?	What step will we take while trusting God?
