Small Group CSV for all 365 stories.				
				
				
storyCode	question1	question2	question3	question4
S001	What patterns or repeated words did you notice in the passage?	What does the text suggest about God’s character and purposes?	How could this view of creation shape how we treat people and our work this week?	What one concrete action will you take to honor God’s design (at work, home, or city) this week?
S002	Which moments in the story show the pull of temptation and the choice to disobey?	What does the passage reveal about blame, hiding, and consequences?	Where do similar dynamics surface in everyday life (workplace, family, online)?	What specific boundary or habit will you set this week to resist a known temptation?
S003	What contrasts do you see between Noah and the surrounding culture?	What does the narrative show about God’s justice and mercy?	How does this challenge our comfort with cultural norms that conflict with God’s ways?	What one integrity practice will you commit to in a setting where it costs you?
S004	What motives drive the builders (status, security, control) in the text?	What does God’s response teach about pride and limits?	Where do we see ‘name‑making’ and exclusion in our circles or city systems?	What step will you take to build humility and inclusion in one relationship or team this week?
S005	What is asked of Abram, and how does he respond?	What does this reveal about trust amid uncertainty?	Where might comfort be keeping you from a faithful next step at work or home?	What one concrete step of obedience will you take before next meeting?
S006	Which promises or signs are emphasized?	What does the passage show about God’s faithfulness over time?	How could promise‑keeping strengthen your commitments (marriage, team, finances)?	What specific promise or commitment will you honor carefully this week?
S007	What problems in the cities are highlighted by the text?	What does the scene teach about God’s holiness and patient mercy?	How should this shape our approach to community safety, justice, and hospitality?	What practical care or advocacy step will you take for someone vulnerable this week?
S008	What tensions and choices stand out in Abraham’s test?	What does the account teach about worship, trust, and surrender?	Where might control be competing with trust in your daily life?	What one relinquishment or trust action will you practice this week?
S009	What developments move the story forward here?	What do you notice about God’s long, patient work across generations?	How does long‑term faithfulness shape your goals for family and vocation?	What patient, repeatable practice will you keep each day this week?
S010	What motives and methods are used to secure the blessing?	What consequences of deceit appear in the family system?	Where does cutting corners erode trust in your world?	What honest action will you take to repair or prevent a trust breach this week?
S011	What new tensions or dynamics surface in this section?	What do these dynamics show about rivalry and God’s purposes?	Where does comparison drive unhelpful choices in teams or families?	What step will you take to practice celebration rather than comparison this week?
S012	What turning points mark Jacob’s flight and encounter?	What does the wrestling scene suggest about identity and dependence on God?	Where might a hard conversation or pause with God bring clarity in your week?	What single step will you take to face, not avoid, a needed conversation or decision?
S013	What decisions lead to resettling, and what changes do you see?	How does God’s care appear amid messy circumstances?	Where are you navigating transition (role, location, season)?	What stabilizing rhythm (Sabbath, walk, journal, check‑in) will you schedule this week?
S014	Which hardships shape Joseph’s character here?	What does the passage show about God’s work in waiting and injustice?	How might faithful presence look in your unfair or slow season?	What one faithful task will you complete this week, even if unnoticed?
S015	What reveals Joseph’s humility and wisdom in leadership?	What risks or temptations accompany rapid promotion?	How can you steward influence without self‑promotion?	What accountability or gratitude step will you practice after a ‘win’ this week?
S016	What motives and fears surface for the brothers and Joseph?	What does Joseph’s restraint and testing reveal about wise reconciliation?	Where do you need both truth and grace to rebuild trust?	What first, modest step toward reconciliation will you take this week?
S017	What emotions and choices mark the reunion?	What does the narrative teach about forgiveness and repair over time?	Where might you move from avoidance to honest peace‑making?	What specific outreach (call, note, meeting) will you make this week?
S018	What themes of blessing, memory, and legacy appear?	What do these endings suggest about finishing well?	How should legacy shape your calendar and priorities now?	What one priority will you reallocate time or money toward this week?
S019	What forms of oppression and hope are present?	What does God’s call of Moses show about purpose and courage?	Where might you use your position to serve those under pressure?	What concrete advocacy or support step will you take this week?
S020	What fears and objections surface, and how are they met?	What does faithful obedience under pressure look like here?	Where do you need courage to do the right thing despite resistance?	What one action will you take this week that aligns with conviction over comfort?
S021	What patterns emerge in warnings, responses, and outcomes?	What does the story show about hard hearts and mercy?	Where might stubborn habits be harming you or your team?	What practice will you adopt to soften a hard pattern this week?
S022	Which instructions and symbols stand out and why?	What does the text communicate about rescue, identity, and belonging?	How could regular remembrance shape your home and workplace decisions?	What specific reminder (note, alarm, mealtime moment) will you set for the week?
S023	Which choices and emotions define the crisis and crossing?	What does the rescue reveal about fear and trust?	Where do you feel boxed in and tempted to panic?	What step will you take while asking God to open a path this week?
S024	Where do complaint and provision appear side by side?	What does the narrative teach about daily dependence?	How might gratitude practices change your tone at work and home?	What daily thanksgiving habit will you implement for seven days?
S025	Which command strikes you as most needed now and why?	What do the commands reveal about loving God and neighbor in real life?	How would your team or city change if these were practiced?	Which single command will you intentionally practice this week and how?
S026	What values for community life are emphasized?	How do these instructions protect justice and the vulnerable?	Where could you increase fairness in your sphere (workflows, pay, time, voice)?	What one fairness action will you take and communicate this week?
S027	Which details communicate God’s desire to dwell with His people?	What do beauty, order, and skill suggest about worship and work?	Where could excellence and care honor God in your craft?	What single quality‑improvement step will you take on a task this week?
S028	What responsibilities and boundaries are placed on leaders?	What does holiness look like in ordinary decisions?	Where do you need clearer boundaries to serve people well?	What boundary will you set or reinforce in your calendar or tech use this week?
S029	Which practices (incense, anointing, Sabbath) are highlighted?	What do these teach about presence, consecration, and rest?	Where are you overextended and thin on unhurried time with God or family?	What specific Sabbath block or digital limit will you schedule this week?
S030	What led the people to the calf, and what followed?	What does Moses’ intercession show about leadership and mercy?	What modern ‘idols’ compete for first place (image, security, productivity)?	What concrete swap will you make this week to put God first (replace X with Y)?
S031	How do the people respond to the call to build?	What do generosity and skillful work look like in the text?	Where can you offer time, talent, or resources for a shared good?	What specific contribution will you make before the next meeting?
S032	What completes the work, and what happens then?	What does God’s presence mean for the community’s future?	Where do you need to slow down to notice and honor God’s presence?	What simple practice (walk, silence, doxology) will you add daily this week?
S033	Which offerings stand out and why?	What do they teach about sin, gratitude, and approach to God?	How might confession and thanks recalibrate your week?	What honest confession and thanksgiving practice will you do on a set day this week?
S034	What additional rhythms of offering do you see?	What do they suggest about everyday life with God?	Where could routine tasks become worshipful habits?	What daily moment will you intentionally offer to God this week?
S035	What preparation steps are required for service?	What does the passage teach about readiness and responsibility?	Where do you need to prepare before you serve or lead?	What concrete prep step will you take 24 hours before your next responsibility?
S036	What distinctions does the text make and to what end?	What values about health, holiness, and community care appear?	How might wise limits help your body, mind, and relationships?	What one health or holiness limit will you observe all week?
S037	What repeated patterns of carefulness do you notice?	What does attention to detail protect in a community?	Where are small compromises weakening your impact?	What small, repeatable safeguard will you re‑establish this week?
S038	What images communicate atonement and cleansing?	What does the passage say about access to God and forgiveness?	How does living forgiven change how you treat others?	What step of reconciliation or repair will you take this week?
S039	What commands or warnings are emphasized?	What distinctives mark a holy people in this passage?	Where are you called to be different for good reasons (speech, money, sexuality, power)?	What one distinctive behavior will you practice consistently this week?
S040	What expectations are placed on those who serve?	What does this reveal about influence and example?	Where do you have quiet influence that needs integrity?	What example will you set intentionally in that space this week?
S041	Which rhythms or festivals are described?	What do corporate rhythms of remembrance produce?	What weekly rhythm would strengthen your discipleship and relationships?	What recurring reminder or gathering will you put on the calendar today?
S042	What practices of rest, release, and reset appear?	What do they show about trust, justice, and economic mercy?	Where could you practice release (debts, grudges, overwork)?	What specific release or rest step will you take this week?
S043	What choices and outcomes are paired in the text?	What does the passage teach about the trajectory of a life?	Where are your choices currently pointing you?	What course‑correction will you implement starting today?
S044	What purposes for the census are implied?	What does ordered preparation reveal about mission and trust?	Where would structure help your calling or household?	What one organizing step will you take before the weekend?
S045	What unique role is given the Levites?	What does set‑apart service look like today?	Where might God be setting you apart for steady, unseen service?	What service commitment will you accept or renew this week?
S046	What consecration practices stand out?	What does the text show about living under God’s blessing?	Which habit, if dedicated to God, would shift your week?	What habit will you dedicate to God and track daily this week?
S047	What preparations and celebrations occur?	What do they teach about starting well with God?	Where do you need to prepare rather than rush?	What first preparation step will you complete by a set time tomorrow?
S048	Where do complaint and care appear in tension?	What does the account teach about trust and contentment?	Where do you default to complaint under stress?	What replacement practice (gratitude, solution note, pause) will you use this week?
S049	What reports and reactions shape the outcome?	What do fear and faith look like here?	Where is fear shrinking your vision at work or home?	What faith‑aligned step will you take despite fear this week?
S050	What sparked the rebellion, and how did it unfold?	What does the passage reveal about pride, authority, and humility?	Where do you resist healthy guidance that could grow you?	What humble action will you take to receive correction this week?
S051	Which provisions and wins are highlighted?	What does the narrative show about God’s care in hard places?	Where have you seen small wins you need to acknowledge?	What gratitude or testimony will you share with one person this week?
S052	What tensions in motive and message do you see?	What does the story suggest about integrity under pressure?	Where could mixed motives be steering you?	What clarifying boundary or confession step will you take this week?
S053	What shifts or purposes surface in the second count?	What does it say about readiness across generations?	Where can you invest in someone younger or newer?	What mentoring or support step will you schedule this week?
S054	What commitments and rhythms are described?	What does the text teach about words and follow‑through?	Where do your words need alignment with actions?	What specific commitment will you keep and report back on next week?
S055	What lessons emerge from the travel and conflict notes?	What do you learn about perseverance and guidance?	Where do you need steady perseverance in a current assignment?	What small, repeatable step will you take each day this week?
S056	What instructions and boundaries are given?	What does the passage model about wisdom and planning?	Where do you need clearer boundaries to thrive?	What one boundary will you write down and communicate this week?
S057	What memories are reviewed and why?	What does remembering do for identity and obedience?	Which story of God’s help do you need to rehearse?	What practice will you use to remember and share it this week?
S058	What calls to listen and respond stand out?	What does the passage teach about hearing that leads to doing?	Where do you delay obedience while over‑analyzing?	What one small act of obedience will you do within 48 hours?
S059	Which covenant themes are central here?	What do they reveal about love, loyalty, and worship?	How could covenant love reshape one strained relationship?	What practical act of covenantal love will you do this week?
S060	What outcomes of obedience are described?	What does the text show about witness among the nations?	Where could your everyday choices point others to God?	What visible, humble good work will you do this week?
S061	What justice and care instructions appear?	What does this reveal about God’s heart for the vulnerable?	Where can you influence fair process or protection?	What concrete advocacy or fairness action will you take this week?
S062	Which instructions struck you as timely?	What values are being formed by these laws?	Where do these values challenge your current habits?	What one change will you practice daily for the next seven days?
S063	What protections or limits are emphasized?	What does the text teach about restraint and wisdom?	Where do you need wiser limits with speech, screens, or spending?	What specific limit will you adopt and share with a partner this week?
S064	What repeated themes paint a picture of community life?	What does that picture ask of leaders and neighbors?	Where could your group reflect that picture more fully?	What shared practice will you pilot together this week?
