Segment	Q1	Q2	Q3	Q4
S101	What stands out in Solomon’s later years as king?	What do his choices show about distraction and divided loyalty?	Where are you tempted to chase success more than wisdom?	What will you do to keep your focus on what matters most this week?
S102	What mistakes or warnings appear in the stories of the early kings?	What do these reveal about listening to godly advice?	Where do you find it hard to accept correction or guidance?	What step will you take to listen and grow from advice this week?
S103	What divided the kingdom into north and south?	What does this show about pride and disagreement?	Where could better communication or humility prevent division in your group or class?	What action will you take to help build unity this week?
S104	What stands out in Elijah’s confrontation with false prophets?	What does this show about courage and faith in difficult times?	Where could you show courage in standing for truth?	What action of faith will you take this week even if it’s unpopular?
S105	What do you notice about Elijah’s discouragement after his victory?	What does this reveal about God’s care for the weary?	Where do you need to slow down or rest instead of giving up?	What refreshing practice will you do this week to regain strength?
S106	What qualities does Elisha show as Elijah’s successor?	What do these reveal about mentorship and perseverance?	Who do you look up to and how can you learn from their example?	What one quality from a role model will you imitate this week?
S107	What miracles of Elisha stand out most to you?	What do they reveal about compassion and God’s power in everyday needs?	Where do you see small opportunities to meet a need around you?	What compassionate action will you take this week?
S108	What do you notice about Naaman’s pride and eventual healing?	What does this teach about humility and obedience?	Where could pride stop you from learning or growing?	What humble choice will you make this week to grow in character?
S109	What injustices appear in the story of Ahab and Naboth’s vineyard?	What does this reveal about power and greed?	Where do you see unfairness in your surroundings?	What fair action will you take when you see someone treated unjustly?
S110	What message did prophets give to Israel’s kings?	What does this show about accountability before God?	Where do you need to listen to correction and make changes?	What responsible step will you take this week to follow God’s ways?
S111	What patterns lead Israel further into idolatry and decline?	What does this reveal about forgetting God’s truth?	Where might you be filling your mind with things that distract you from faith?	What habit will you adjust to refocus on God’s truth this week?
S112	What stands out in the fall of Israel to Assyria?	What lessons does this give about ignoring warnings?	Where are you tempted to keep repeating an unhealthy pattern?	What decision will help you start fresh this week?
S113	What reforms or good examples do you see among Judah’s kings?	What does this reveal about influence and legacy?	Where can you use your influence for good in your classroom or group?	What example will you set for others this week?
S114	What does the story of Hezekiah’s prayer show about faith under pressure?	What does it teach about trusting God in crisis?	Where do you face something that feels out of your control?	What prayer will you pray this week to bring your need to God?
S115	What happens in the story of Josiah discovering the Book of the Law?	What does this reveal about renewal and returning to truth?	Where do you need to rediscover God’s Word in your own habits?	What step will you take to reconnect with Scripture this week?
S116	What choices lead Judah toward exile?	What warnings do you see about ignoring God’s voice?	Where do you sense God nudging you toward change or repentance?	What obedient action will you take this week?
S117	What do you learn about God’s faithfulness through the exile?	What does this show about hope even in loss?	Where have you seen God work in a hard or confusing time?	What hope will you hold onto this week when things feel uncertain?
