Segment	Q1	Q2	Q3	Q4
S001	What part of creation fills our family with wonder?	What do we learn about God’s joy and creativity?	How can we care for each other and creation this week together as a family?	What small act of creativity can we do together for God?
S002	What happened when people disobeyed in the garden?	What do we learn about listening to God’s voice?	Where do we feel tempted to do wrong together as a family?	What step will help us choose right together?
S003	What made Noah’s choices different?	What does this teach us about trusting God even when others don’t?	When can our family stand for what’s right?	What will we do to show trust this week together as a family?
S004	What were the people trying to build?	What do we learn about pride and teamwork?	Where can we include someone who feels left out together as a family?	What humble action will we take this week together as a family?
S005	What did God ask Abram to do?	How did Abram show trust in God’s promise?	Where can we trust God even when we’re unsure together as a family?	What prayer will we say as a family of faith?
S006	What promise did God make to Abram?	What do we learn about God keeping His word?	How can we keep our promises this week together as a family?	What promise will we keep together on purpose?
S007	What went wrong in Sodom and Gomorrah?	What do we learn about God’s holiness and mercy?	How can we choose what’s good and safe together as a family?	What prayer will we say for our city together as a family?
S008	What test did Abraham face with Isaac?	What does this teach about trusting God fully?	Where do we need to trust God as a family?	What step of faith will we take this week together as a family?
S009	What family changes happened for Isaac and Rebekah?	What do we see about God’s plan unfolding?	Where do we need patience at home together as a family?	What habit will help us stay patient this week together as a family?
S010	What choice did Jacob make that caused trouble?	What do we learn about honesty and blessing?	Where do we need to be honest this week together as a family?	What honest action will we take today together as a family?
S011	What jealousy showed up in Jacob’s family?	What do we learn about kindness in families?	Where can we show kindness when we feel left out together as a family?	What kind word will we speak today together as a family?
S012	What moment stood out in Jacob’s wrestling story?	What might Jacob have been struggling with inside?	Where are we wrestling with change or fear together as a family?	What prayer will we bring to God tonight together as a family?
S013	Why did Jacob’s family move again?	Where do we see God caring for them on the journey?	How can we trust God when our plans change together as a family?	What steady habit will keep us close to Him together as a family?
S014	What hard things happened to Joseph?	What good traits did he develop through suffering?	Where do we need courage when life feels unfair together as a family?	What brave step will we take together?
S015	How did Joseph handle success?	What danger comes with being praised?	Where can we stay humble when noticed together as a family?	What thanks will we give God this week together as a family?
S016	What feelings did Joseph’s brothers have?	How did Joseph treat them with mercy?	Where can we show mercy this week together as a family?	Who will we forgive or be gentle toward together as a family?
S017	What emotions filled the reunion of Joseph and his brothers?	What do we learn about forgiveness and grace?	Who might we need to forgive or talk with together as a family?	What step will we take toward peace together as a family?
S018	What blessings did Jacob and Joseph give?	What do they show about finishing with faith?	What kind of legacy do we want as a family?	What priority will we set this week together as a family?
S019	What struggles did God’s people face in Egypt?	How did God call Moses to help them?	Who could we help that feels stuck or hurting together as a family?	What small act of help will we take together as a family?
S020	What fears or challenges did Moses face?	What does obedience look like in this story?	Where do we need courage to do right together as a family?	What brave action will we take this week together as a family?
S021	What patterns did you notice in the plagues?	What do we learn about hard hearts and mercy?	Where do we keep repeating bad habits together as a family?	What will we change together this week?
S022	What special meal or moment did God give His people?	What does the Passover show about belonging?	How can we remember God’s care together?	What reminder will we keep at home together as a family?
S023	What feelings did the Israelites have at the Red Sea?	What do we learn about God’s rescue?	Where do we feel trapped and need help together as a family?	What trust step will we take together?
S024	When did people complain and God still provide?	What does this say about gratitude?	How can we practice thankfulness daily together as a family?	What will we thank God for tonight together as a family?
S025	Which command stands out to you?	What do the commandments teach about love?	How could our home reflect God’s ways together as a family?	Which one will we practice this week together as a family?
S026	What kinds of rules were given?	What do they show about fairness and care?	Where can we be fair with others together as a family?	What fair action will we choose today together as a family?
S027	What details stood out about the Tabernacle?	What do they show about God living near His people?	How can we make space for God at home together as a family?	What small worship habit will we start together as a family?
S028	What work did the priests do?	What does holiness look like in everyday life?	Where do we need good boundaries together as a family?	What boundary will we set kindly together as a family?
S029	What new instructions did God give Moses?	What do they show about rest and prayer?	Where do we need quiet time with God together as a family?	When will we set that time this week together as a family?
S030	What went wrong with the golden calf?	What do we learn about idols and forgiveness?	What things try to take God’s place for us together as a family?	What will we lay down to put Him first together as a family?
S031	How did people respond to building God’s tent?	What do we see about generosity and teamwork?	Where can we offer time or talents together?	What task will we share this week together as a family?
S032	What showed the Tabernacle was finished?	What does God’s glory mean for His people?	How can we honor God in daily places together as a family?	What simple worship will we do together?
S033	What offerings did God ask for?	What do they show about sin and thankfulness?	How can we say sorry and thank You to God together as a family?	What honest prayer will we pray today together as a family?
S034	What other offerings were added?	What do they teach about daily life with God?	Where can we turn routine into worship together as a family?	What daily moment will we give to God together as a family?
S035	What steps prepared the priests to serve?	What does it mean to get ready to serve others?	How can we prepare our hearts to help others together as a family?	What small prep will we do before serving together as a family?
S036	What clean and unclean rules stood out?	What do they show about health and holiness?	How can we care for body and soul this week together as a family?	What healthy habit will we start together as a family?
S037	What careful living patterns did you hear?	What do small details teach about faithfulness?	Where do small choices shape family life?	What small good habit will we repeat together as a family?
S038	What picture of forgiveness stood out?	What do we learn about God making a way for us?	How do forgiven people treat others together as a family?	Who will we forgive or ask forgiveness from together as a family?
S039	What commands did God give His people?	What do they show about living differently for God?	Where is God asking us to stand out kindly together as a family?	What change will we practice this week together as a family?
S040	What was expected of priests and leaders?	What do we learn about example and care?	Where do we lead by example at home together as a family?	What good example will we set this week together as a family?
S041	What special days were described?	What do they teach about remembering together?	What family rhythm helps us remember God?	What reminder will we set for this week together as a family?
S042	What rest and release rules were given?	What do they show about trust and renewal?	Where do we need rest or to forgive debts together as a family?	What reset will we try this week together as a family?
S043	What choices and results were compared?	What does this teach about wisdom and paths?	Where do our choices lead us now together as a family?	What wise choice will we make today together as a family?
S044	Why were the people counted in Numbers?	What does this show about order and purpose?	Where do we need a plan to serve well together as a family?	What organizing step will we take this week together as a family?
S045	What role did the Levites have?	What does it mean to be set apart to serve?	Where can we serve others with care together as a family?	What service will we offer this week together as a family?
S046	What practices of dedication were described?	What do they show about blessing and purpose?	What habit could we dedicate to God this week together as a family?	What will we dedicate together in prayer?
S047	What celebrations took place before the journey?	What do we learn about starting well with God?	Where do we need to prepare before we start together as a family?	What first step will we take to prepare together as a family?
S048	Where did people complain in the desert?	What does this show about contentment?	When do we start to complain easily together as a family?	What thank you will we say instead this week together as a family?
S049	What report did the spies bring back?	What’s the difference between fear and faith?	Where is fear shrinking our trust together as a family?	What faith step will we take this week together as a family?
S050	What caused the rebellion in this story?	What do we learn about pride and humility?	Where do we resist guidance that helps us grow together as a family?	What humble step will we choose today together as a family?
S051	What victories did God give in the desert?	What do we learn about God’s care in hard times?	Where have we seen small wins recently?	How can we thank God together for His help?
S052	What choices did Balaam face?	What does this teach about motives and honesty?	Where do mixed motives challenge us at home?	What clear and honest step can we take?
S053	Why were the people counted again?	What does this say about readiness to serve?	Where can we help others take their place?	Who will we encourage this week?
S054	What promises or vows did people make?	What do vows teach about keeping our word?	Where do we need to match words and actions?	What promise will we keep with care?
S055	What lessons came from Israel’s travels?	What do we learn about patience and guidance?	Where do we need steady patience as a family?	What small daily habit will help us stay patient?
S056	What plans were set for the promised land?	What does that show about wisdom and boundaries?	Where do we need clear boundaries right now?	What boundary will we set kindly?
S057	What memories did Moses retell?	Why is remembering God’s help so important?	What story of God’s help could we share?	When will we share it together?
S058	What calls to listen did Moses give?	What does true obedience look like?	Where do we need to act on what we know is right?	What step of obedience will we take soon?
S059	What themes of the covenant stood out?	What do they show about loyal love?	How can loyalty shape our family life?	What act of faithful love will we show?
S060	What goals of obedience were described?	What does it mean to be a witness?	Where do our choices show God’s goodness?	What witness can we live out today?
S061	What kinds of justice and kindness did God command?	What do they show about His heart?	Where can we protect or care for someone?	What just and kind action will we take?
S062	What instructions stood out?	What values were God shaping?	Where do those values challenge us?	What one change will we try together?
S063	What limits or protections were set?	What wisdom do we see in God’s laws?	Which family rules help us live wisely?	What boundary will we agree on and keep?
S064	What community picture does Moses describe?	What kind of home reflects that picture?	Where can our home reflect God’s ways more?	What new practice will we add together?
S065	What choices and outcomes were compared?	What do we learn about wise paths?	Where are our choices leading us now?	What wise turn will we take today?
S066	What invitation did God give His people?	What does it mean to choose life?	Where do we need to choose life and hope?	What life-giving action will we take?
S067	What moments of change did Moses describe?	What do we learn about passing on leadership?	Who can we encourage to step up and serve?	What encouragement will we give this week?
S068	What final blessings did Moses speak?	What do they show about finishing well?	Where do we need to finish something faithfully?	What family task will we complete with joy?
S069	What words of courage were given to Joshua?	What helps people stay strong and brave?	Where do we need courage right now?	What truth will remind us to be brave?
S070	How did the people obey God at Jericho?	What do we learn about unusual obedience?	Where might God ask us to trust beyond logic?	What faithful step will we take together?
S071	What mistake caused the setback at Ai?	What does it teach about honesty and sin?	Where could hidden things hurt our home?	What confession or fix will we make?
S072	What challenges and progress happened in battle?	What does steady obedience look like?	Where do we need teamwork at home?	What part will each of us take to help?
S073	How were the land portions shared?	What do we learn about fairness and order?	Where can we share fairly with others?	What fair choice will we practice?
S074	What pattern did Joshua follow in dividing land?	What values guided his choices?	Where can we show those same values?	What example will we set this week?
S075	What did Joshua remind the people of?	What does loyalty to God look like?	Where are we tempted to drift from what’s right?	What guardrail will keep us close to God?
S076	What farewell words did Joshua give?	What do they show about faithful leadership?	Where can we be faithful in small things?	What task will we finish faithfully?
S077	What pattern do we see in Judges?	What does it teach about sin and renewal?	Where do we see similar patterns today?	What early step will help us break a bad habit?
S078	Who did God raise up as leaders?	What do we learn about God using unlikely people?	Where can our strengths help others?	What service will we do together?
S079	What doubts did Gideon have?	What does this show about God’s patience?	Where do we feel weak or unsure?	What brave small step will we take?
S080	What mistakes did Abimelech make?	What do we learn about pride and power?	Where could pride cause conflict for us?	What humble action will we take?
S081	What happened when vows were made too quickly?	What do we learn about thinking before speaking?	Where do our words run ahead of wisdom?	What careful speaking habit will we try?
S082	What strengths and weaknesses did Samson show?	What does this reveal about calling and choices?	Where are we strong but tempted?	What guardrail can we put in place?
S083	What confusion about right and wrong appeared?	What happens when everyone does what they want?	Where do we see this happening today?	What truth will guide our family?
S084	What injustice or pain stood out?	What does this teach about justice and care?	Who can we stand up for kindly?	What careful action will we take to protect others?
S085	What choices by Ruth or Boaz stood out?	What do we learn about loyalty and kindness?	Where can we show loyal love to someone?	What kind act will we do together?
S086	How did Samuel learn to hear God’s voice?	What does this teach about listening?	Where do we need quiet time to listen to God?	When will we pause to listen this week?
S087	Why did Israel want a king?	What does this show about fear and trust?	Where do we feel pressure to fit in?	What trusting choice will we make instead?
S088	How did Saul begin his kingship?	What do we learn about humility and calling?	Where can humility help us lead better?	What humble action will we take?
S089	What mistakes did Saul make?	What does it teach about impatience and pressure?	Where do we rush ahead without waiting for God?	What pause will we add to our day?
S090	What contrast do we see between Saul and David?	What does God seeing the heart mean to you?	Where can we value heart more than appearance?	What kind action will we do from the heart?
S091	What brave act did David do?	What made his courage special?	Where do we face big challenges?	What faith step will we take together?
S092	What tensions arose between Saul and David?	What do we learn about jealousy and friendship?	Where can we show loyalty under pressure?	What kind action will we take for a friend?
S093	What did David do when under stress?	What does this show about wisdom and trust?	Where do we need wisdom before reacting?	What step will help us stay calm and wise?
S094	When did David have a chance to get even?	What does his choice teach about restraint?	Where could restraint help our home?	What gentle response will we choose?
S095	What contrast continues between Saul and David?	What do we learn about seeking God first?	Where are we tempted to take shortcuts?	What habit helps us put God first?
S096	How did David respond to loss?	What does lament teach about grief?	How can we support each other in hard times?	What prayer will we say in sorrow?
S097	What steps led David to become king?	What do we learn about waiting for God’s timing?	Where do we need patience as a family?	What practice will help us wait well?
S098	What promises did God make to David?	What does this show about grace and faithfulness?	What family promises remind us of love?	What promise of God will we hold onto?
S099	What victories did David win?	What keeps success humble?	Where can we give God credit for good things?	What thanks will we share after success?
S100	What warning signs appeared in David’s story?	What do we learn about sin and confession?	Where do small wrongs need to be made right?	What guardrail will protect our hearts?
S101	What new king began to rule, and what feelings did that bring?	What does this story show about how power can change hearts?	Where have we seen pride or success affect someone’s choices?	What attitude will we choose to keep our hearts humble?
S102	What wise or unwise choices stood out?	What do we learn about listening to wise voices?	Where can we invite wisdom before making a big choice?	What small way can we listen before acting?
S103	What signs of drifting from God appeared?	What do we sense God felt when His people turned away?	Where do we see ourselves drifting or distracted?	What habit can help us turn our focus back to God?
S104	Which prophet spoke truth even when it was hard?	What does this reveal about courage and love?	When have we needed to speak the truth in love?	What gentle truth could we share this week?
S105	What moment of pride or repentance stood out?	What do we learn about consequences and mercy?	Where do we need to own our mistakes at home?	What apology or change will bring healing?
S106	What miracle or warning caught your attention?	What does it tell you about God’s patience?	Where have we seen second chances in our family story?	What will we do with the next chance God gives?
S107	What loss or grief appears in this story?	How do you think people felt when hope seemed gone?	When has our family felt loss or sadness?	What comfort or prayer brings us peace?
S108	What act of kindness or courage stood out?	What does it reveal about God caring for the weak?	Who might need our kindness this week?	What compassionate act will we do together?
S109	What warning did God give through His prophets?	How do warnings show love and care?	When have we ignored helpful advice?	What advice will we choose to listen to this time?
S110	What lesson do we learn from repeated mistakes?	What does this show about stubborn hearts?	Where do we repeat things that hurt others?	What simple change can we make today?
S111	What story of division or conflict stood out?	How do you think people felt when families or nations split apart?	Where has misunderstanding hurt relationships?	What step can we take toward peace or forgiveness?
S112	Who stayed faithful in a time of chaos?	What does that teach about steady faith?	Where can we stay faithful even when it’s hard?	What promise will we keep to God this week?
S113	What idol or false hope distracted people?	What do we learn about where to place our trust?	What things today compete for our attention or love?	What will we set aside to honor God first?
S114	What prophet’s story made you feel hopeful or challenged?	What do we learn about listening to God’s word?	Where do we need to make time for God’s voice?	When will we take quiet time to listen?
S115	What action or warning was ignored?	What feelings might God have had watching that happen?	Where do we see people ignoring good advice today?	What wise voice will we choose to follow?
S116	What king or leader stood out as a good example?	What character quality made them different?	Where can we show that quality at home or school?	What habit will we start to grow that strength?
